Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result
Philadelphia 76ers,Utah Jazz,0.7240693189198575,1.6118584552058604,0.37279704368831523,0.32034379741488944,0.12994661037910993,-0.5519146370638729,0.40437594755723005,1
Boston Celtics,Toronto Raptors,-0.8976065937023033,0.19188791133403083,-0.6710346786389678,-0.44492194085401315,-2.1831030543690484,-2.104174553806021,-1.8702387574522092,1
Indiana Pacers,Miami Heat,1.1968087916030707,-1.6886136197394737,-1.342069357277934,0.6050938395614579,0.3378611869856851,-0.8968612852287997,0.8087518951144713,1
Milwaukee Bucks,Chicago Bulls,2.890293231721416,2.9934514168108803,0.07455940873766279,3.434797383392982,3.4565798360843276,-2.2076585482554965,2.931725619789953,1
Minnesota Timberwolves,Portland Trail Blazers,-1.3703460663855163,-3.1853393281449143,-0.894712904851956,-1.8508752739526946,-1.32545542586692,1.9661958945400553,-1.3142218295610104,1
Washington Wizards,Brooklyn Nets,-0.6283246155916121,-1.7653687842730816,-0.1491188174753269,-0.8008594935372236,-0.6497330518955498,0.8968612852287947,0.6065639213358535,0
Memphis Grizzlies,Sacramento Kings,0.658244835381689,-1.2280826325377958,-0.447356452425978,0.5695000842931368,-0.20791457660657514,-1.3107972630267068,-0.40437594755723566,1
New Orleans Pelicans,New York Knicks,1.6934844401183455,0.6140413162688992,-0.2982376349506524,1.3703595778303606,1.7672739011558944,-0.13797865926596575,2.072426731230827,1
Chicago Bulls,Toronto Raptors,-3.141647136854385,-1.7963823256922413,0.38691960560426264,-3.228744780550575,-3.117621247602418,1.785342861444771,-2.440923403086673,0
Phoenix Suns,Oklahoma City Thunder,-2.768206062096222,-2.2080532753300472,2.785821160350689,-2.87587649852319,-1.7072687784489435,3.0654000073862964,0.9153462761575046,0
Boston Celtics,Utah Jazz,0.37344107475816235,1.4221360078396934,-1.392910580175346,0.670449735852032,-0.6185756443655588,-2.1222000051135903,-1.067903988850422,0
Brooklyn Nets,LA Clippers,-1.5115472073544685,-0.26197242249678643,0.0,-1.0762482601835253,-0.692804721689425,0.9432000022727063,-1.7798399814173644,0
Houston Rockets,Sacramento Kings,0.19561199153999018,0.07484926357050847,0.15476784224170587,0.3881551102301238,0.29691630929546886,-0.3031714293019435,-0.5085257089763915,1
Orlando Magic,Los Angeles Lakers,-0.19561199153999018,-0.07484926357051114,-1.0833748956919358,-0.599876079446555,-1.162922211407251,-0.43791428676947025,-1.3730194142362513,1
Indiana Pacers,Atlanta Hawks,2.5903769788780493,0.44909558142305883,-1.7798301857796084,2.434791145988959,1.7072687784489435,-2.2569428625811216,1.118756559748061,1
Dallas Mavericks,Golden State Warriors,-1.416705029638109,-0.3742463178525505,1.702446264658755,-0.9703877755753094,-1.8804699588713008,-0.673714287337648,-1.6272822687244526,1
Charlotte Hornets,Philadelphia 76ers,-0.8535795994472288,-0.7859172674903566,-2.5536693969881337,0.7763102204602477,1.2618943145057384,0.336857143668824,-0.2542628544881901,0
New Orleans Pelicans,Denver Nuggets,-0.3675134386508906,-0.4865202132083173,0.07738392112085363,-0.8645272909670939,0.14845815464773615,1.751657147077881,0.5085257089763859,1
San Antonio Spurs,Golden State Warriors,-0.7804749611427644,0.18894981686244428,-1.9636004391982615,-1.0570628250025258,-1.791351213593294,-0.39376423469647714,-3.2305745336552563,1
Orlando Magic,New York Knicks,1.7123853625072594,-0.6424293773323115,-0.9425282108151664,0.8104148325019365,0.4289150793110714,-0.9844105867411905,0.9532842886195856,1
Miami Heat,Los Angeles Lakers,-1.094994721603281,1.0203290110571972,1.3352482986548186,-0.44044284375105236,-1.0596725488861756,-0.5250189795952998,-1.059204765132867,0
Minnesota Timberwolves,Memphis Grizzlies,-1.4852322021746638,1.247068791292131,0.0,-1.2156222487529045,0.07569089634901177,2.4938401530776853,-0.6355228590797237,0
Washington Wizards,Portland Trail Blazers,-2.1841650031980344,-4.232475897718752,-0.5498081229755126,-2.2022142187552616,-1.564278524546255,2.1657032908306224,-0.7944035738496488,0
Philadelphia 76ers,Phoenix Suns,2.5237081362360714,2.55362375612983,-1.340543376886294,1.9336214929608215,1.4202266719648173,-1.642779613870612,0.4395282591683385,1
Detroit Pistons,Cleveland Cavaliers,2.489603972232881,1.0290722599329172,-1.3405433768862942,1.5256096182993637,0.4906237594060293,-2.254795548449862,-0.5494103239604309,1
Atlanta Hawks,LA Clippers,-2.910221994938893,-1.2577549843624518,2.6810867537725898,-2.660947008661681,-3.1761432845758675,0.7086500295128147,-2.307523360633803,0
Indiana Pacers,Utah Jazz,1.0003888107602448,0.19056893702461408,-0.6702716884431464,1.3127338576064294,0.5164460625326609,-1.8360478037377415,0.2197641295841723,1
Milwaukee Bucks,Denver Nuggets,0.9208124280861343,0.838503322908303,0.5027037663323601,0.8160237493229154,0.981247518812055,-0.38653637973426314,2.0877592310496307,1
Sacramento Kings,Oklahoma City Thunder,-0.5456666240510423,-1.2577549843624547,0.33513584422157394,-1.2062959772599622,-0.18075612188643203,1.8682591687155994,1.318584777505034,1
Charlotte Hornets,Boston Celtics,-0.1648367926820859,-0.7622757480984563,-0.6702716884431477,0.3725325812126354,2.014139643877377,1.8682591687156038,1.318584777505034,1
Memphis Grizzlies,Dallas Mavericks,1.4210068334662562,-1.448323921387066,-2.0945990263848366,0.4080118746614577,-0.33568994064623253,-1.224031869158496,-0.5494103239604247,1
New Orleans Pelicans,San Antonio Spurs,0.500194405380122,0.11434136221477009,1.591895260052475,0.6208876353543922,1.291115156331652,0.6120159345792455,1.9229361338615016,1
