,Home,Away,Home Team Win Probability
106,Phoenix Suns,Orlando Magic,0.33172886604450613
107,Boston Celtics,Cleveland Cavaliers,0.8383477309439863
108,Brooklyn Nets,Memphis Grizzlies,0.3330003957258277
109,Miami Heat,New Orleans Pelicans,0.48895437166908934
110,Detroit Pistons,Chicago Bulls,0.8975747884746452
111,Portland Trail Blazers,Denver Nuggets,0.5101607530231651
112,Charlotte Hornets,Utah Jazz,0.5580701256980032
113,Oklahoma City Thunder,Atlanta Hawks,0.8837679595400167
114,New York Knicks,Milwaukee Bucks,0.26698093933074
115,Cleveland Cavaliers,Toronto Raptors,0.0827389673769838
116,Houston Rockets,Chicago Bulls,0.8536287131620302
117,Detroit Pistons,Golden State Warriors,0.6179369466640244
118,Sacramento Kings,Indiana Pacers,0.5304443956929131
119,Minnesota Timberwolves,Boston Celtics,0.5365791890969258
120,Washington Wizards,Brooklyn Nets,0.6460419175748424
121,Philadelphia 76ers,Memphis Grizzlies,0.7012489426595575
122,San Antonio Spurs,Portland Trail Blazers,0.4749213326341141
123,Los Angeles Lakers,Phoenix Suns,0.9003516607978395
124,Miami Heat,Utah Jazz,0.5327575944394563
125,Dallas Mavericks,LA Clippers,0.4594690075442055
126,Charlotte Hornets,New Orleans Pelicans,0.5188984913431974
127,New York Knicks,Washington Wizards,0.4960363974218289
128,Brooklyn Nets,Cleveland Cavaliers,0.6931597836672871
129,Detroit Pistons,Oklahoma City Thunder,0.5560595323199137
130,Atlanta Hawks,Golden State Warriors,0.2062265499630834
131,Minnesota Timberwolves,Houston Rockets,0.5769328492179916
132,Toronto Raptors,Denver Nuggets,0.714190906598831
133,New Orleans Pelicans,LA Clippers,0.37449476651077956
134,Phoenix Suns,Sacramento Kings,0.26352505921255404
135,Miami Heat,Orlando Magic,0.4941973145009839
136,Indiana Pacers,Chicago Bulls,0.8879357421153189
137,Utah Jazz,San Antonio Spurs,0.6505503341928193
138,Dallas Mavericks,Portland Trail Blazers,0.6142666138457266
139,Los Angeles Lakers,San Antonio Spurs,0.7894652861376736
140,Brooklyn Nets,Oklahoma City Thunder,0.2344724574612647
141,Cleveland Cavaliers,Golden State Warriors,0.17960069302545936
142,Orlando Magic,Denver Nuggets,0.3510947149987077
143,Atlanta Hawks,Washington Wizards,0.3863839663487419
144,Milwaukee Bucks,Detroit Pistons,0.674965845332117
145,Minnesota Timberwolves,Charlotte Hornets,0.686332646758966
146,Memphis Grizzlies,LA Clippers,0.5289393081261698
147,Toronto Raptors,Philadelphia 76ers,0.7377342352974912
148,New Orleans Pelicans,Dallas Mavericks,0.5521610347864294
149,Boston Celtics,New York Knicks,0.7907858255073801
150,Portland Trail Blazers,Phoenix Suns,0.876677806590416
151,Utah Jazz,Houston Rockets,0.6089537299128995
152,San Antonio Spurs,Los Angeles Lakers,0.4101629630899553
153,Chicago Bulls,Oklahoma City Thunder,0.18479120422899561
154,Phoenix Suns,Miami Heat,0.338639600587447
155,Brooklyn Nets,Toronto Raptors,0.16806313408246412
156,Cleveland Cavaliers,Sacramento Kings,0.25070711128398654
157,Orlando Magic,Indiana Pacers,0.4376633966766991
158,Detroit Pistons,Philadelphia 76ers,0.47781654892086595
159,Milwaukee Bucks,Golden State Warriors,0.5710901224278494
160,Charlotte Hornets,Denver Nuggets,0.3482422342939341
161,New Orleans Pelicans,Memphis Grizzlies,0.4523279590925106
162,Chicago Bulls,Boston Celtics,0.247324495203688
163,New York Knicks,Brooklyn Nets,0.5273592695670014
164,Cleveland Cavaliers,Washington Wizards,0.38803962120672864
165,LA Clippers,Miami Heat,0.7815874177281498
166,Portland Trail Blazers,Minnesota Timberwolves,0.6899817341809009
167,Atlanta Hawks,Denver Nuggets,0.2061932222702351
168,Indiana Pacers,Sacramento Kings,0.6914183878416752
169,Dallas Mavericks,Houston Rockets,0.6915566762825981
170,Memphis Grizzlies,Los Angeles Lakers,0.5570643362709922
171,San Antonio Spurs,Utah Jazz,0.5603440985418401
172,New York Knicks,Charlotte Hornets,0.396774853183788
173,Detroit Pistons,New Orleans Pelicans,0.6389236406754158
174,Toronto Raptors,Milwaukee Bucks,0.6857183322295257
175,Philadelphia 76ers,Detroit Pistons,0.7546246630384322
176,Golden State Warriors,Minnesota Timberwolves,0.7909890295833979
177,Chicago Bulls,Sacramento Kings,0.26912232891098953
178,Los Angeles Lakers,Miami Heat,0.7943356588943078
179,Phoenix Suns,LA Clippers,0.15113703343346777
180,Boston Celtics,New Orleans Pelicans,0.6781640322851096
181,Indiana Pacers,Washington Wizards,0.8001617869028721
182,Dallas Mavericks,Orlando Magic,0.7373306034094724
183,Milwaukee Bucks,Cleveland Cavaliers,0.9147082373596388
184,Denver Nuggets,Memphis Grizzlies,0.689270812091379
185,Oklahoma City Thunder,Utah Jazz,0.7765692484539661
186,San Antonio Spurs,Phoenix Suns,0.8514681473323227
187,Houston Rockets,Portland Trail Blazers,0.5215425156897157
188,LA Clippers,Toronto Raptors,0.453113584747894
189,Philadelphia 76ers,Brooklyn Nets,0.8397262187802386
190,Golden State Warriors,Toronto Raptors,0.48125496944841745
191,Cleveland Cavaliers,New York Knicks,0.5649074601247501
192,Utah Jazz,Miami Heat,0.682360112838025
193,Indiana Pacers,Milwaukee Bucks,0.5890624994718158
194,Dallas Mavericks,Atlanta Hawks,0.8701153151605733
195,Sacramento Kings,Minnesota Timberwolves,0.6989907527759586
196,Charlotte Hornets,Detroit Pistons,0.5726697913508034
197,Washington Wizards,Boston Celtics,0.37521763829406773
198,Memphis Grizzlies,Portland Trail Blazers,0.6430081016023387
199,New Orleans Pelicans,Oklahoma City Thunder,0.44084066190129056
200,San Antonio Spurs,LA Clippers,0.46005881822247413
