,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Lakers,Golden State Warriors,-2.1722120396131532,-0.21965302835888623,0.9292832627996391,-2.8471855716978087,-1.8885465526059,2.236966808637541,-2.0393643799503502,0,11/25/2016
1,Boston Celtics,San Antonio Spurs,-1.3441906185724957,-0.3075142397024388,0.061952217519975816,-0.8694997853687921,-0.7513572306066493,0.45965071410360453,-0.7597632003736572,0,11/25/2016
2,Philadelphia 76ers,Chicago Bulls,-2.0162859278587435,-3.5583790594139573,2.601993135838989,-2.710793448502705,-2.5383690223197592,1.2563786185498507,-0.19993768430885828,0,11/25/2016
3,Indiana Pacers,Brooklyn Nets,1.0968595447551563,0.08786121134355263,-1.0531876978395918,0.9376958469663443,0.12184171307134728,-1.624099189832735,-0.43986290547948825,1,11/25/2016
4,Detroit Pistons,LA Clippers,-1.8979971534243638,1.2300569588097616,-0.12390443503995141,-1.8753916939326885,-1.929160456963017,0.5209374759840861,-2.51921482229161,1,11/25/2016
5,Memphis Grizzlies,Miami Heat,1.5700146424926749,-1.098265141794431,0.6814743927197351,0.4091763695853139,0.3452181870354878,-0.39836395222312304,0.8797258109589765,0,11/25/2016
6,Utah Jazz,Atlanta Hawks,-0.5161691975318382,0.6589590850766586,-2.2922320482391094,0.0852450769969405,0.4467529479282782,0.42900733316336614,0.19993768430885828,1,11/25/2016
7,Sacramento Kings,Houston Rockets,-1.3441906185724957,-1.0543345361226533,-1.486853220479423,-1.1593330471583894,-0.934119800213673,0.9499448091474519,-1.0796634952678303,0,11/25/2016
8,Cleveland Cavaliers,Dallas Mavericks,3.892776031385947,2.020807860901754,-0.4336655226398322,3.495048156874556,3.7364792008546868,-0.612867618804806,2.8391151171857834,1,11/25/2016
9,Phoenix Suns,Minnesota Timberwolves,-0.2096937364973096,0.1757224226871083,0.12390443503995252,-1.074087970161449,-1.0965754176421343,0.45965071410360453,-0.7197756635118899,0,11/25/2016
10,Orlando Magic,Washington Wizards,0.09678172453721978,1.5815018041839812,-0.061952217519975705,-0.8013037237712395,-1.5839422699275292,-0.919301428207209,-1.519526400747323,0,11/25/2016
11,New York Knicks,Charlotte Hornets,0.0,0.30751423970244196,1.920518743119254,-0.8865488007681801,-0.4264459957497184,1.0112315710279334,-0.1999376843088583,1,11/25/2016
12,Milwaukee Bucks,Toronto Raptors,-1.0538454449608365,0.7907509020919891,1.9824709606392308,-0.8183527391706278,-1.421486652499065,-0.704797761625526,-0.9197133478207482,0,11/25/2016
13,Denver Nuggets,Oklahoma City Thunder,-0.8280214210406575,2.1086690722453065,0.12390443503995252,-0.46032341578347813,-0.10153476089279037,0.8886580472669662,-0.47985044234125995,0,11/25/2016
14,Portland Trail Blazers,New Orleans Pelicans,0.7903840837206276,0.1317918170153336,0.24780887007990282,-0.11934310779571655,1.1574962741778108,1.961176380175381,0.7597632003736616,1,11/25/2016
15,Washington Wizards,San Antonio Spurs,-2.5812326122371436,-0.04428328936677253,1.0587771509063448,-1.5600704467897093,-1.162750527220398,1.134981086825986,-1.641372534907839,0,11/26/2016
16,Charlotte Hornets,New York Knicks,0.3311968524866394,-0.13284986810031763,-1.6815872396747817,0.94960809804591,0.46918003729946084,-1.0719265820023234,0.4003347646116691,1,11/26/2016
17,Oklahoma City Thunder,Detroit Pistons,0.588794404420693,-0.6199660511348061,2.1798353106895325,0.1526155871859498,0.550776565525449,0.4413815337656637,1.0809038644515065,1,11/26/2016
18,Golden State Warriors,Minnesota Timberwolves,2.9912858581729838,-0.08856657873354512,-0.4982480710147507,2.289233807789248,1.9991149415368226,-0.8827630675313274,2.7222763993593455,1,11/26/2016
