,Date,Home,Away,Home Team Win Probability
0,11/25/2016,Los Angeles Lakers,Golden State Warriors,0.26067778658774077
1,11/25/2016,Boston Celtics,San Antonio Spurs,0.35287374840911256
2,11/25/2016,Philadelphia 76ers,Chicago Bulls,0.30258603720022303
3,11/25/2016,Indiana Pacers,Brooklyn Nets,0.7458495977335181
4,11/25/2016,Detroit Pistons,LA Clippers,0.2590485621390998
5,11/25/2016,Memphis Grizzlies,Miami Heat,0.8393062376284857
6,11/25/2016,Utah Jazz,Atlanta Hawks,0.4440315835608721
7,11/25/2016,Sacramento Kings,Houston Rockets,0.3343062181625024
8,11/25/2016,Cleveland Cavaliers,Dallas Mavericks,0.9627575818271555
9,11/25/2016,Phoenix Suns,Minnesota Timberwolves,0.5620925399334914
10,11/25/2016,Orlando Magic,Washington Wizards,0.5920016267099424
11,11/25/2016,New York Knicks,Charlotte Hornets,0.6468480386173593
12,11/25/2016,Milwaukee Bucks,Toronto Raptors,0.42049595630545744
13,11/25/2016,Denver Nuggets,Oklahoma City Thunder,0.4372886059630487
14,11/25/2016,Portland Trail Blazers,New Orleans Pelicans,0.7560446150230243
15,11/26/2016,Washington Wizards,San Antonio Spurs,0.19554667933061765
16,11/26/2016,Charlotte Hornets,New York Knicks,0.6046148826294945
17,11/26/2016,Oklahoma City Thunder,Detroit Pistons,0.7417031847018868
18,11/26/2016,Golden State Warriors,Minnesota Timberwolves,0.9269591406317448
19,11/26/2016,Miami Heat,Memphis Grizzlies,0.2672022470189959
20,11/27/2016,Philadelphia 76ers,Cleveland Cavaliers,0.12898634855854463
21,11/27/2016,Los Angeles Lakers,Atlanta Hawks,0.533500284982083
22,11/27/2016,Phoenix Suns,Denver Nuggets,0.46756566545816924
23,11/27/2016,Brooklyn Nets,Sacramento Kings,0.45780814368084655
24,11/27/2016,Orlando Magic,Milwaukee Bucks,0.4714029181329285
25,11/27/2016,Portland Trail Blazers,Houston Rockets,0.4053690464802659
26,11/27/2016,Indiana Pacers,LA Clippers,0.3691042504747799
27,11/27/2016,Dallas Mavericks,New Orleans Pelicans,0.463925717499118
28,11/28/2016,Golden State Warriors,Atlanta Hawks,0.8383139555603344
29,11/28/2016,New York Knicks,Oklahoma City Thunder,0.4842852301918935
30,11/28/2016,Miami Heat,Boston Celtics,0.31132041975822855
31,11/28/2016,Minnesota Timberwolves,Utah Jazz,0.4021906709706268
32,11/28/2016,Washington Wizards,Sacramento Kings,0.5768937287349287
33,11/28/2016,Toronto Raptors,Philadelphia 76ers,0.8569022503862133
34,11/28/2016,Memphis Grizzlies,Charlotte Hornets,0.6571862123291874
35,11/29/2016,San Antonio Spurs,Orlando Magic,0.8860385498571993
36,11/29/2016,Brooklyn Nets,LA Clippers,0.23851751634989188
37,11/29/2016,Utah Jazz,Houston Rockets,0.4702183894133565
38,11/29/2016,Milwaukee Bucks,Cleveland Cavaliers,0.2842151436765996
39,11/29/2016,Charlotte Hornets,Detroit Pistons,0.6826590151274923
40,11/29/2016,New Orleans Pelicans,Los Angeles Lakers,0.4173836209635246
41,11/30/2016,Chicago Bulls,Los Angeles Lakers,0.6178339509505469
42,11/30/2016,Phoenix Suns,Atlanta Hawks,0.37669586402074196
43,11/30/2016,Boston Celtics,Detroit Pistons,0.6813150021239898
44,11/30/2016,Portland Trail Blazers,Indiana Pacers,0.6258279447481236
45,11/30/2016,Dallas Mavericks,San Antonio Spurs,0.09680889394540668
46,11/30/2016,Denver Nuggets,Miami Heat,0.6837118200259575
47,11/30/2016,Minnesota Timberwolves,New York Knicks,0.3714327831124934
48,11/30/2016,Toronto Raptors,Memphis Grizzlies,0.6646991289485255
49,11/30/2016,Oklahoma City Thunder,Washington Wizards,0.80615360038815
50,12/01/2016,Cleveland Cavaliers,LA Clippers,0.6524373561784771
51,12/01/2016,Utah Jazz,Miami Heat,0.7509804797941583
52,12/01/2016,Brooklyn Nets,Milwaukee Bucks,0.3701904684712333
53,12/01/2016,Golden State Warriors,Houston Rockets,0.7529441537628739
54,12/01/2016,Charlotte Hornets,Dallas Mavericks,0.8879535053375374
55,12/01/2016,Memphis Grizzlies,Orlando Magic,0.8144943544233377
56,12/02/2016,Philadelphia 76ers,Orlando Magic,0.4585438363850538
57,12/02/2016,San Antonio Spurs,Washington Wizards,0.9059439483614624
58,12/02/2016,Chicago Bulls,Cleveland Cavaliers,0.4358806170012195
59,12/02/2016,New York Knicks,Minnesota Timberwolves,0.8144852748463376
60,12/02/2016,Boston Celtics,Sacramento Kings,0.7591598441237153
61,12/02/2016,Atlanta Hawks,Detroit Pistons,0.6369660588373752
62,12/02/2016,Denver Nuggets,Houston Rockets,0.28133960394812807
63,12/02/2016,Toronto Raptors,Los Angeles Lakers,0.73827333679226
64,12/02/2016,New Orleans Pelicans,LA Clippers,0.21314101201226227
65,12/03/2016,Philadelphia 76ers,Boston Celtics,0.2526569526799935
66,12/03/2016,Golden State Warriors,Phoenix Suns,0.9329431131092994
67,12/03/2016,Utah Jazz,Denver Nuggets,0.746710400587509
68,12/03/2016,Portland Trail Blazers,Miami Heat,0.7856269370577246
69,12/03/2016,Milwaukee Bucks,Brooklyn Nets,0.806624091758682
70,12/03/2016,Dallas Mavericks,Chicago Bulls,0.24258809138773302
71,12/03/2016,Charlotte Hornets,Minnesota Timberwolves,0.7693413954615412
72,12/03/2016,Toronto Raptors,Atlanta Hawks,0.758611190258894
73,12/03/2016,Memphis Grizzlies,Los Angeles Lakers,0.7173034001223308
74,12/04/2016,LA Clippers,Indiana Pacers,0.7555670925754976
75,12/04/2016,New York Knicks,Sacramento Kings,0.7730807077467552
76,12/04/2016,Detroit Pistons,Orlando Magic,0.6350032180791209
77,12/04/2016,Oklahoma City Thunder,New Orleans Pelicans,0.8549467042648877
78,12/05/2016,Philadelphia 76ers,Denver Nuggets,0.42528489263187597
79,12/05/2016,Golden State Warriors,Indiana Pacers,0.8690603717383707
80,12/05/2016,Los Angeles Lakers,Utah Jazz,0.5142176640845068
81,12/05/2016,Chicago Bulls,Portland Trail Blazers,0.5572790687753517
82,12/05/2016,Brooklyn Nets,Washington Wizards,0.49869373512372844
83,12/05/2016,Houston Rockets,Boston Celtics,0.7352528965600483
84,12/05/2016,Atlanta Hawks,Oklahoma City Thunder,0.42227701564097625
85,12/05/2016,Milwaukee Bucks,San Antonio Spurs,0.30756245860985243
86,12/05/2016,Dallas Mavericks,Charlotte Hornets,0.2541551200605149
87,12/05/2016,Toronto Raptors,Cleveland Cavaliers,0.48895123507833244
88,12/05/2016,New Orleans Pelicans,Memphis Grizzlies,0.2467067673370116
89,12/06/2016,Memphis Grizzlies,Philadelphia 76ers,0.8947409113708581
90,12/06/2016,Minnesota Timberwolves,San Antonio Spurs,0.15554664117556605
91,12/06/2016,Miami Heat,New York Knicks,0.3209780377200858
92,12/06/2016,Detroit Pistons,Chicago Bulls,0.5673180791351589
93,12/06/2016,Utah Jazz,Phoenix Suns,0.811436793377686
94,12/06/2016,Washington Wizards,Orlando Magic,0.5232245555804115
95,12/07/2016,New York Knicks,Cleveland Cavaliers,0.3970028488417552
96,12/07/2016,Phoenix Suns,Indiana Pacers,0.37679724124487374
97,12/07/2016,Brooklyn Nets,Denver Nuggets,0.5445242303544208
98,12/07/2016,Houston Rockets,Los Angeles Lakers,0.806851652116189
99,12/07/2016,Orlando Magic,Boston Celtics,0.4421106218184481
100,12/07/2016,LA Clippers,Golden State Warriors,0.39379171695213866
101,12/07/2016,Atlanta Hawks,Miami Heat,0.771065952419231
102,12/07/2016,Milwaukee Bucks,Portland Trail Blazers,0.5936662843306793
103,12/07/2016,Dallas Mavericks,Sacramento Kings,0.38252943868953626
104,12/07/2016,Charlotte Hornets,Detroit Pistons,0.6871049267119059
105,12/08/2016,New Orleans Pelicans,Philadelphia 76ers,0.6093491716519328
106,12/08/2016,Utah Jazz,Golden State Warriors,0.28400571446393114
107,12/08/2016,Chicago Bulls,San Antonio Spurs,0.339084627441914
108,12/08/2016,Memphis Grizzlies,Portland Trail Blazers,0.7329293424548458
