,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Philadelphia 76ers,Chicago Bulls,-1.7649242788711037,-3.739934861443235,2.5740731710171825,-2.6190133510814526,-2.5498865847274925,0.9936796594541577,-0.20167789268484765,0,11/25/2016
1,Los Angeles Lakers,Golden State Warriors,-1.9451267577948803,-0.31166123845360105,0.9805993032446418,-2.6013173149254967,-1.7621167455433877,1.9252543401924296,-1.7344298770896895,0,11/25/2016
2,New York Knicks,Charlotte Hornets,-0.376305176576121,0.0,1.838623693583702,-1.0440661332013899,-0.49753884580048413,1.1799945956018103,-0.32268462829575617,1,11/25/2016
3,Phoenix Suns,Minnesota Timberwolves,0.14310196855711654,-0.08904606812959895,-0.1838623693583707,-0.884801807797788,-1.0365392620843457,0.18631493614765265,-0.7260404136654514,0,11/25/2016
4,Boston Celtics,San Antonio Spurs,-1.0600145819045674,0.0,0.42901219516953104,-0.814017663173965,-0.7048466982173562,0.3726298722953097,-0.6453692565915079,0,11/25/2016
5,Cleveland Cavaliers,Dallas Mavericks,3.725951255394553,1.9590134988512178,-0.490299651622321,2.866757857264833,3.482771920603401,0.21736742550559768,2.4604702907551363,1,11/25/2016
6,Orlando Magic,Washington Wizards,0.4876067076761009,1.2466449538144138,-0.42901219516953004,-0.7963216270180093,-1.6999243898183276,-1.0247321488120984,-1.613423141478781,0,11/25/2016
7,Detroit Pistons,LA Clippers,-2.3161318614614785,1.0685528175552095,0.06128745645278988,-2.3181807364302047,-2.2181940208604973,0.77631223394856,-2.7024837619769535,1,11/25/2016
8,Portland Trail Blazers,New Orleans Pelicans,0.508806999314192,-0.31166123845360094,0.3677247387167402,-0.4247048677429384,1.0780008325677202,2.359989191203625,0.8470471492763599,1,11/25/2016
9,Utah Jazz,Atlanta Hawks,-0.8851121758903135,0.26713820438880315,-2.5127857145643926,-0.5485771208346285,0.10365392620843457,1.0557846381700386,-0.16134231414787809,1,11/25/2016
10,Indiana Pacers,Brooklyn Nets,0.8056110822474709,-0.17809213625920095,-0.8580243903390612,0.5485771208346285,-0.145115496691809,-1.3352570423915224,-0.6453692565915123,1,11/25/2016
11,Milwaukee Bucks,Toronto Raptors,-0.731410061514151,0.8459376472312075,2.0837735193948626,-0.743233518550142,-1.4926165374014584,-0.9315746807382721,-0.9680538848872684,0,11/25/2016
12,Sacramento Kings,Houston Rockets,-1.0600145819045668,-1.0240297834904084,-1.5321864113197505,-0.955585952421611,-0.8499621949091654,0.807364723306505,-1.048725041961203,0,11/25/2016
13,Denver Nuggets,Oklahoma City Thunder,-0.5300072909522834,1.9590134988512178,-0.06128745645278877,-0.44240090389889397,-0.08292314096674885,0.8694697020223907,-0.44369136390666475,0,11/25/2016
14,Memphis Grizzlies,Miami Heat,2.0193277785282002,-1.4247370900736147,0.30643728226395034,0.6901454100822746,0.49753884580048724,-0.5899972978009073,1.0487250419612075,0,11/25/2016
15,Golden State Warriors,Minnesota Timberwolves,2.9142052610651707,-0.4832366623895503,-0.7434266102397109,2.1481759403228975,1.90885350478446,-0.6435109997450446,2.639177432876925,1,11/26/2016
16,Miami Heat,Memphis Grizzlies,-1.5700146424926749,1.098265141794431,-0.6814743927197351,-0.4091763695853139,-0.3452181870354878,0.39836395222312304,-0.8797258109589765,0,11/26/2016
17,Charlotte Hornets,New York Knicks,0.0,-0.30751423970244196,-1.920518743119254,0.8865488007681801,0.4264459957497184,-1.0112315710279334,0.1999376843088583,1,11/26/2016
18,Washington Wizards,San Antonio Spurs,-2.451803688276232,-0.1317918170153305,1.1151399153595674,-1.3809702473504344,-1.0762684654635772,0.919301428207209,-1.479538863885547,0,11/26/2016
19,Oklahoma City Thunder,Detroit Pistons,0.31185222350881925,-0.9664733247790974,2.230279830719134,-0.20458818479265695,0.3655251392140447,0.7660845235060074,0.9996884215442916,1,11/26/2016
20,Philadelphia 76ers,Cleveland Cavaliers,-3.1910553882442905,-1.727048285304107,2.927207417211657,-3.2388419058351574,-3.5494489778306875,0.5990177958248242,-1.8415399172136735,0,11/27/2016
21,Los Angeles Lakers,Atlanta Hawks,-0.8095923060784527,-1.3727819703699295,-0.9964961420295002,-1.2548392724178097,0.8771626784294249,3.7517430370081275,0.6405356233786706,1,11/27/2016
22,Phoenix Suns,Denver Nuggets,-0.42582452462567977,-2.0813146002382807,-0.18684302663053176,-0.6104623487437995,-0.632373093751443,-0.031527252411831186,-0.08006695292233379,0,11/27/2016
23,Brooklyn Nets,Sacramento Kings,-0.5677660328342393,-0.3099830255674014,1.183339168660032,-0.8987362356505934,-0.8771626784294219,0.15763626205916492,-0.08006695292233384,0,11/27/2016
24,Orlando Magic,Milwaukee Bucks,-0.2838830164171197,1.1956488129028426,-0.3114050443842189,-0.983522672976121,-1.3667418477853799,-0.25221801929466303,-1.801506440752511,0,11/27/2016
25,Portland Trail Blazers,Houston Rockets,-0.6571366120766661,-1.151365523536067,-2.242116319566377,-1.203967410022493,-0.6119739616949459,1.2926173488851553,-0.7206025763010001,0,11/27/2016
26,Indiana Pacers,LA Clippers,-1.8557537925045047,-0.7528159192351236,1.619306230797938,-2.628379557091358,-2.0603123377063195,1.7024716302389833,-1.681406011369006,1,11/27/2016
27,Dallas Mavericks,New Orleans Pelicans,-1.156560437254932,0.08856657873354501,0.37368605326106247,-1.3565829972084427,-1.2443470554463918,0.6620723006484955,-1.4812386290631758,1,11/27/2016
28,Golden State Warriors,Atlanta Hawks,1.5800287512920281,-0.9679478689077622,-1.7053790410992493,1.8449556263169014,2.925371171812092,1.2079237050748264,2.826504985805368,1,11/28/2016
29,New York Knicks,Oklahoma City Thunder,-0.30095785738895797,0.7835768462586654,-0.7870980189688834,-0.798298107540967,-0.10447754185043186,1.4866753293228658,-0.4037864265436246,0,11/28/2016
30,Miami Heat,Boston Celtics,-1.3435618633435609,1.6132464481796025,0.7870980189688845,-0.4434989486338705,-1.2119394854650087,-0.8672272754383423,-1.8170389194463108,0,11/28/2016
31,Minnesota Timberwolves,Utah Jazz,-1.160837449928837,-1.7054319595041494,1.115055526872585,-0.8337780234316766,0.39701465903164224,1.9202889670420369,-0.16151457061744984,0,11/28/2016
32,Toronto Raptors,Philadelphia 76ers,2.0959565068159556,-0.09218551132454678,-3.804307091682938,2.217494743169353,2.7164160881112283,0.09291720808267834,1.2113592796308739,1,11/28/2016
33,Washington Wizards,Sacramento Kings,-0.42456554881656516,0.5992058236095654,0.0,-0.21287949534425793,-0.5223877092521593,-0.5884756511903031,-1.0094660663590616,1,11/28/2016
34,Memphis Grizzlies,Charlotte Hornets,0.45143678608343696,-0.5992058236095653,2.23011105374517,-0.31931924301638676,-1.002984401764148,-1.1459788996863771,-0.6460582824697993,0,11/28/2016
35,San Antonio Spurs,Orlando Magic,2.499627604257568,-1.6095481467068002,-0.7826807631495976,2.317762673252766,2.8094040721291353,0.0,3.2194031726473735,0,11/29/2016
36,Brooklyn Nets,LA Clippers,-2.8021303079575284,-0.7817805284004471,2.478489083307056,-3.433077042336804,-1.7401532685575976,3.7125089243110247,-0.9372945945682195,1,11/29/2016
37,Utah Jazz,Houston Rockets,-0.4829429129244981,1.1036901577418083,-2.0219253048031236,0.017426787016938006,-1.3627706320029385,-2.157697494471368,-1.3040620446166549,1,11/29/2016
38,Milwaukee Bucks,Cleveland Cavaliers,-2.122825990876915,-0.5518450788709042,1.3044679385826614,-1.7601054887107475,-2.1804330112047023,-0.19038507304158916,-1.3448139835109254,1,11/29/2016
39,Charlotte Hornets,Detroit Pistons,0.7642173567156894,0.09197417981181855,-0.13044679385826563,0.5228036105081427,0.985387995448276,0.571155219124772,1.141054289039577,0,11/29/2016
40,New Orleans Pelicans,Los Angeles Lakers,-0.8862798511911121,-0.3678967192472674,-1.434914732440927,-0.06970714806775236,-1.1950450157564234,-1.7451965028812506,-0.8557907167796828,1,11/29/2016
41,Chicago Bulls,Los Angeles Lakers,0.8616572771457578,3.622547508326626,-1.219937434584689,1.8411818773388329,0.6542283993290606,-2.3594348837437944,-0.8410351217993441,0,11/30/2016
42,Phoenix Suns,Atlanta Hawks,-1.5863624042815938,-0.4766509879377139,-1.2877117365060589,-1.4729455018710662,-0.08723045324387291,2.4232033941152493,-0.5046210730796065,1,11/30/2016
43,Boston Celtics,Detroit Pistons,0.6505227125471282,-1.1439623710505127,0.5421944153709732,-0.11047091264032996,0.7414588525729335,1.2753702074290796,1.3877079509689179,0,11/30/2016
44,Portland Trail Blazers,Indiana Pacers,-0.14836482917741536,-0.33365569155640096,-0.8810659249778299,-0.4418836505613198,1.2866491853471538,2.678277435601069,1.1353974144291146,1,11/30/2016
45,Dallas Mavericks,San Antonio Spurs,-3.3667403544105765,-0.7149764819065709,0.20332290576411516,-2.669713722141308,-2.7913745038039948,0.573916593343085,-2.565157121487995,0,11/30/2016
46,Denver Nuggets,Miami Heat,0.6733480708821153,0.9533019758754278,1.0166145288205737,0.07364727509355329,0.850496919127777,1.1159489315004447,1.1353974144291146,0,11/30/2016
47,Minnesota Timberwolves,New York Knicks,-1.010022106323173,-1.3346227662255976,1.0166145288205737,0.44188365056131984,0.3053065863535629,-0.7014536140859946,0.6728280974394754,0,11/30/2016
48,Toronto Raptors,Memphis Grizzlies,0.2054282250148829,-0.6196462843190267,-1.965454755719776,0.9942382137629698,2.2025689444078393,1.6579812696578042,1.8502772679585524,1,11/30/2016
49,Oklahoma City Thunder,Washington Wizards,1.1640932750843347,0.4766509879377139,0.1355486038427427,0.791708207255698,0.45795987953034434,-0.7971063796431748,0.5466728291695737,1,11/30/2016
50,Golden State Warriors,Houston Rockets,1.5970383129502783,-0.5702326446157701,-1.1953861337491896,1.7637474769335422,0.8116429483658307,-1.812706430265687,1.2511127448555743,0,12/01/2016
51,Brooklyn Nets,Milwaukee Bucks,-1.183416879380422,-1.6156591597446774,0.7969240891661269,-1.5595240848675533,-0.5045348057409207,2.142289417586721,0.2085187908092624,0,12/01/2016
52,Cleveland Cavaliers,LA Clippers,0.43660040210151485,1.0454265151289075,0.3320517038192192,-0.3898810212168884,0.7458340606604936,1.9445396251941025,0.12511127448555737,0,12/01/2016
53,Utah Jazz,Miami Heat,1.4132065646970084,-0.14255816115394082,-0.13282068152768844,1.2996034040562945,1.1626236827942995,-0.7580408708383775,2.2520029407400335,0,12/01/2016
54,Charlotte Hornets,Dallas Mavericks,2.1830020105075754,1.5206203856420482,-1.1953861337491896,2.097931209405161,2.1936295901779186,-0.3625412860531355,1.4596315356648366,1,12/01/2016
55,Memphis Grizzlies,Orlando Magic,1.091501005253787,-1.6631785467959923,0.39846204458306284,0.909722382839406,1.0529422032854034,-0.06591659746420775,1.2928165030174266,1,12/01/2016
56,Philadelphia 76ers,Orlando Magic,-0.8581844552727174,-1.9887625428432059,2.099239502750694,-0.8120629337292804,0.08990372764596954,1.6917369496151202,1.4625294508032496,0,12/02/2016
57,San Antonio Spurs,Washington Wizards,2.5627974143760603,0.24253201741990307,-0.9840185169143879,1.5485851294372326,1.1687484593975874,-1.082711647753678,1.6345917391330387,1,12/02/2016
58,Chicago Bulls,Cleveland Cavaliers,-1.040401702625144,2.425320174199031,-0.06560123446096011,-0.07554073802132844,-1.0338928679286363,-1.590232732638214,-1.8496695995452814,1,12/02/2016
59,New York Knicks,Minnesota Timberwolves,1.3049106100722139,1.2611664905834967,-1.049619751375347,-0.3965888746119741,-0.2697111829379053,0.676694779846048,-0.6452335812367277,1,12/02/2016
60,Boston Celtics,Sacramento Kings,0.9816219454146837,0.24253201741990316,-1.574429627063021,0.5098999816439668,0.3371389786723808,-0.5413558238768365,0.12904671624734557,1,12/02/2016
61,Atlanta Hawks,Detroit Pistons,0.15282736874719638,-0.5820768418077689,3.542466660891798,-0.018885184505332164,-0.5618982977873014,-0.8458684748075601,0.7742802974840732,0,12/02/2016
62,Denver Nuggets,Houston Rockets,-1.4283481002141802,2.3768137707150525,-0.3936074067657561,-1.0197999632879335,-1.5957911657159378,-0.43985160689993513,-2.021731887875075,0,12/02/2016
63,Toronto Raptors,Los Angeles Lakers,0.9816219454146837,-0.3395448243878656,-2.164840737211654,1.6052406829532289,1.528363369981459,-0.4060168679076297,1.0323737299787594,1,12/02/2016
64,New Orleans Pelicans,LA Clippers,-2.2453867254395754,-0.5335704383237875,0.2624049378438358,-2.341762878661181,-1.8879782805653338,1.319554820699791,-1.333482734555899,0,12/02/2016
65,Philadelphia 76ers,Boston Celtics,-2.1148116623479005,0.19517226981202734,3.2445159458644026,-2.098151612226039,-2.0859038045650045,0.6782517089625797,-1.1156652499370234,0,12/03/2016
66,Golden State Warriors,Phoenix Suns,3.022801452160314,-0.536723741983078,-0.6903225416732772,3.1288225796353215,2.8403796487693684,-1.2208530761326417,3.218265144049101,1,12/03/2016
67,Portland Trail Blazers,Miami Heat,0.7585737484508774,-2.4884464401033553,-0.06903225416732739,-0.20245322574110902,1.4645707563967063,2.5773564940578013,2.3171509037153513,1,12/03/2016
68,Utah Jazz,Denver Nuggets,1.0459122895307555,-1.6101712259492307,-1.6567741000158656,1.4723870962989745,0.6213330481683014,-1.9669299559914806,1.6305876729848754,1,12/03/2016
69,Milwaukee Bucks,Brooklyn Nets,1.4424394762209864,1.7077573608552459,-0.690322541673276,1.8588887090774553,0.7100949121923421,-2.407793566817156,0.08582040384130948,1,12/03/2016
70,Dallas Mavericks,Chicago Bulls,-2.551566244789315,-3.7570661938815384,0.20709676250198367,-2.7975354829680517,-2.618474988709259,1.2208530761326466,-1.029844846095714,1,12/03/2016
71,Charlotte Hornets,Minnesota Timberwolves,1.8159795796248273,1.2686197537781834,-2.4161288958564704,0.6625741933345386,-0.17752372804808478,-1.1530279052363828,-0.2574612115239284,0,12/03/2016
72,Toronto Raptors,Atlanta Hawks,1.0574058311739507,-0.3903445396240548,-3.1064514375297487,1.3067435479653398,2.57409405669724,1.7295418578545765,1.716408076826185,1,12/03/2016
73,Memphis Grizzlies,Los Angeles Lakers,0.7125995818780969,-0.2927584047180394,-0.8283870500079321,0.6073596772233272,-0.5769521161562763,-2.068667712335871,-0.7723836345717854,1,12/03/2016
74,New York Knicks,Sacramento Kings,0.9062078931226643,1.2055748158659583,-0.6973480662110458,-0.0731728519180036,0.11009741958612912,0.38847222271749193,-0.4185063522314262,1,12/04/2016
75,LA Clippers,Indiana Pacers,1.6518219824008056,1.1051102478771304,-1.7433701655276146,2.451290539253119,1.7835781972952938,-1.7657828305340633,1.3392203271405592,0,12/04/2016
76,Detroit Pistons,Orlando Magic,0.7112011313114579,-0.3516259879609025,-1.6039005522854048,1.5183366772985734,1.5854028420402602,-0.3178409094961334,1.2555190566942784,0,12/04/2016
77,Oklahoma City Thunder,New Orleans Pelicans,1.4338732486118102,1.0046456798882992,1.603900552285406,0.9329538619545452,1.0128962601923899,-0.3178409094961334,0.4185063522314261,1,12/04/2016
78,Philadelphia 76ers,Denver Nuggets,-0.8636942423337175,-2.8575479832027373,1.0614412895672019,-1.2631950119619755,-1.4163279952888463,0.07196893200998178,-0.042031257369435915,0,12/05/2016
79,Golden State Warriors,Indiana Pacers,2.015286565445341,0.4010593660635441,-0.21228825791344086,2.6935775990365665,2.810525865651309,-0.4677980580648739,2.942188015860507,1,12/05/2016
80,Los Angeles Lakers,Utah Jazz,-0.6679235474047414,-0.7519863113691411,1.9813570738587762,-1.746181340065084,-0.6639037477916476,2.5189126203493264,-1.0087501768664564,0,12/05/2016
81,Chicago Bulls,Portland Trail Blazers,0.3166878888556961,4.110858502151306,0.4953392684646937,1.2074658202577708,-0.3762121237486009,-3.0226951444191936,-1.471094007930256,0,12/05/2016
82,Brooklyn Nets,Washington Wizards,-0.40305731308906834,-1.0026484151588546,0.6368647737403215,-1.0588546423798912,-0.5532531231597063,1.1874873781646813,0.336250058955487,0,12/05/2016
83,Houston Rockets,Boston Celtics,0.28789808077790613,0.6015890490953142,2.547459094961283,0.5572919170420482,1.1065062463194126,0.575751456079844,1.1768752063441998,1,12/05/2016
84,Milwaukee Bucks,San Antonio Spurs,-1.4049426341961806,0.6517214698532541,0.9906785369293888,-0.5944447115115179,-0.907335121981917,-0.287875728039922,-0.840625147388713,0,12/05/2016
85,Atlanta Hawks,Oklahoma City Thunder,-0.8233885110248109,-0.6517214698532541,1.2029667948428284,-0.8545142727978072,-1.1728966210985767,-0.17992233002495173,-0.4623438310637947,0,12/05/2016
86,Dallas Mavericks,Charlotte Hornets,-1.9519489876742022,-1.3535753604644551,1.2029667948428298,-1.764757737299819,-1.9917112433749429,0.10795339801497011,-1.42906275056082,0,12/05/2016
87,Toronto Raptors,Cleveland Cavaliers,-0.1266751555422787,-0.4511917868214875,-0.9906785369293887,0.650173903215723,0.3983422486749879,-0.5397669900748556,0.3782813163249228,0,12/05/2016
88,New Orleans Pelicans,Memphis Grizzlies,-1.6467770220496214,-0.350926945305597,-1.1322040422050152,-0.4272571363989036,-0.3319518738958238,0.3598446600499038,0.2521875442166154,0,12/05/2016
89,Detroit Pistons,Chicago Bulls,-0.28379966206168666,-1.7880578371847455,-1.172902824981933,-0.11071838924445887,-0.47680696172270687,-0.4621979081166796,-0.04236178869353191,1,12/06/2016
90,Miami Heat,New York Knicks,-1.1351986482467462,0.4966827325513189,-0.4829599867572675,0.05535919462222949,-0.7585565300133963,-1.4932547800692766,-1.0590447173382986,0,12/06/2016
91,Utah Jazz,Phoenix Suns,1.6517140331990152,1.0927020116128996,-1.4488799602718,2.1774616551410237,1.3220556665947751,-2.062113743905189,1.5673861816606773,1,12/06/2016
92,Minnesota Timberwolves,San Antonio Spurs,-2.894756553029202,-0.49668273255131895,1.0349142573370003,-1.0702777626964353,-0.2817495682906925,1.351040039110296,-0.6354268304029792,0,12/06/2016
